Réservation au nom de ;Domaines;Ressource ;Description :;Heure - Durée :;Type;Dernière mise à jour
12;Videoprojecteur;VP 01;Epson EBW29;vendredi 24 septembre 2021 08:00:00 - 10 heure(s);Emprunt;vendredi 24 septembre 202108:04:41
12;Videoprojecteur;VP 04;Epson EB-W22;vendredi 24 septembre 2021 08:30:00 - 9 heure(s) et 30 minute(s);Emprunt;vendredi 24 septembre 202108:26:24
11;Videoprojecteur;VP 01;Epson EBW29;lundi 27 septembre 2021 08:00:00 - 4 heure(s);Cours;lundi 27 septembre 202108:06:27
11;NOUVEAUX PC COURTE DUREE;PC B CD n�2;DELL Latitude E5580;lundi 27 septembre 2021 11:00:00 - 1 heure(s);Cours;lundi 27 septembre 202110:48:25
6;NOUVEAUX PC COURTE DUREE;PC B CD n�6;Dell Latitude 3410;jeudi 16 septembre 2021 15:00:00 - 1 semaine(s) et 4 jour(s);Emprunt;vendredi 24 septembre 202118:05:11
13;PC Courte Duree;PC B CD 1;DELL Latitude E5580;mardi 28 septembre 2021 08:00:00 - 6 heure(s);Cours;mercredi 22 septembre 202114:14:18
12;NOUVEAUX PC COURTE DUREE;PC B CD n�1;Dell Latitude 3410;mardi 28 septembre 2021 08:00:00 - 6 heure(s);Cours;mardi 28 septembre 202107:55:42
6;Videoprojecteur;VP 03;Epson EB-W29;mardi 28 septembre 2021 11:30:00 - 5 heure(s);Emprunt;mardi 12 octobre 202116:06:32
12;NOUVEAUX PC COURTE DUREE;PC B CD n�5;Dell Latitude 3410;mardi 28 septembre 2021 09:00:00 - 8 heure(s) et 30 minute(s);Emprunt;mardi 28 septembre 202109:03:32
10;Videoprojecteur;VP 01;Epson EBW29;mardi 28 septembre 2021 14:00:00 - 22 heure(s);Cours;mardi 28 septembre 202114:33:39
14;Videoprojecteur;VP 01;Epson EBW29;jeudi 30 septembre 2021 08:00:00 - 4 heure(s);Cours;jeudi 30 septembre 202108:03:16
14;Enceinte;RONDSON n�1 c�ble du Rondson n�3 car n�1 HS;;jeudi 30 septembre 2021 10:00:00 - 2 heure(s);Emprunt;jeudi 30 septembre 202109:47:32
14;NOUVEAUX PC COURTE DUREE;PC B CD n�5;Dell Latitude 3410;jeudi 30 septembre 2021 10:30:00 - 1 heure(s) et 30 minute(s);Emprunt;jeudi 30 septembre 202109:47:58
1;NOUVEAUX PC COURTE DUREE;PC B CD n�2;DELL Latitude E5580;mercredi 29 septembre 2021 15:00:00 - 21 heure(s) et 30 minute(s);Cours;jeudi 23 septembre 202111:59:38
6;Videoprojecteur;VP 02;Epson EB-W29;jeudi 30 septembre 2021 09:00:00 - 8 heure(s);Emprunt;jeudi 30 septembre 202109:03:15
14;NOUVEAUX PC COURTE DUREE;PC B CD n�1;Dell Latitude 3410;jeudi 30 septembre 2021 09:00:00 - 8 heure(s);Emprunt;jeudi 30 septembre 202109:18:26
15;Videoprojecteur;VP 03;Epson EB-W29;jeudi 30 septembre 2021 16:30:00 - 1 heure(s) et 30 minute(s);Cours;jeudi 30 septembre 202116:12:59
6;NOUVEAUX PC COURTE DUREE;PC B CD n�4;Dell Latitude 3410;vendredi 01 octobre 2021 09:30:00 - 5 heure(s);Emprunt;mardi 05 octobre 202117:12:15
7;NOUVEAUX PC COURTE DUREE;PC B CD n�3;DELL Latitude E5580;lundi 27 septembre 2021 14:00:00 - 1 semaine(s), 1 heure(s) et 30 minute(s);Emprunt;lundi 27 septembre 202114:16:50
12;NOUVEAUX PC COURTE DUREE;PC B CD n�1;Dell Latitude 3410;mardi 05 octobre 2021 08:00:00 - 6 heure(s);Cours;mardi 05 octobre 202108:11:57
6;Videoprojecteur;VP 03;Epson EB-W29;mardi 05 octobre 2021 11:30:00 - 5 heure(s);Emprunt;mardi 12 octobre 202116:06:32
11;Videoprojecteur;VP 03;Epson EB-W29;mercredi 06 octobre 2021 13:30:00 - 2 heure(s) et 30 minute(s);Cours;lundi 04 octobre 202114:26:01
13;Micro filaire;Micro n�1;;mercredi 06 octobre 2021 13:30:00 - 2 heure(s) et 30 minute(s);Emprunt;mercredi 06 octobre 202114:07:30
3;Enceinte;RONDSON n�1 c�ble du Rondson n�3 car n�1 HS;;mercredi 06 octobre 2021 13:30:00 - 2 heure(s) et 30 minute(s);Emprunt;mercredi 06 octobre 202116:43:06
3;Enceinte;RONDSON n�1 c�ble du Rondson n�3 car n�1 HS;;jeudi 07 octobre 2021 08:00:00 - 4 heure(s);Emprunt;mercredi 06 octobre 202112:14:09
12;NOUVEAUX PC COURTE DUREE;PC B CD n�8;Dell Latitude 3410;jeudi 07 octobre 2021 10:30:00 - 3 heure(s) et 30 minute(s);Emprunt;vendredi 08 octobre 202110:38:03
2;NOUVEAUX PC COURTE DUREE;PC B CD n�1;Dell Latitude 3410;jeudi 07 octobre 2021 13:30:00 - 4 heure(s) et 30 minute(s);Cours;lundi 27 septembre 202113:45:41
2;NOUVEAUX PC COURTE DUREE;PC B CD n�2;DELL Latitude E5580;jeudi 07 octobre 2021 13:30:00 - 4 heure(s) et 30 minute(s);Cours;lundi 27 septembre 202113:45:47
2;NOUVEAUX PC COURTE DUREE;PC B CD n�3;DELL Latitude E5580;jeudi 07 octobre 2021 13:30:00 - 4 heure(s) et 30 minute(s);Cours;lundi 27 septembre 202113:45:52
2;NOUVEAUX PC COURTE DUREE;PC B CD n�4;Dell Latitude 3410;jeudi 07 octobre 2021 13:30:00 - 4 heure(s) et 30 minute(s);Cours;lundi 27 septembre 202113:45:59
2;NOUVEAUX PC COURTE DUREE;PC B CD n�5;Dell Latitude 3410;jeudi 07 octobre 2021 13:30:00 - 4 heure(s) et 30 minute(s);Cours;lundi 27 septembre 202113:46:04
16;NOUVEAUX PC COURTE DUREE;PC B CD n�3;DELL Latitude E5580;vendredi 08 octobre 2021 08:00:00 - 3 jour(s), 6 heure(s) et 30 minute(s);Emprunt;vendredi 08 octobre 202109:16:54
12;NOUVEAUX PC COURTE DUREE;PC B CD n�7;Dell Latitude 3410;jeudi 07 octobre 2021 10:00:00 - 4 jour(s) et 6 heure(s);Emprunt;vendredi 08 octobre 202109:51:42
6;NOUVEAUX PC LONGUE DUREE;PC B LD n�13;Dell Latitude 3410;mardi 21 septembre 2021 12:00:00 - 3 semaine(s) et 30 minute(s);Emprunt;jeudi 23 septembre 202117:52:29
12;NOUVEAUX PC COURTE DUREE;PC B CD n�2;DELL Latitude E5580;mardi 12 octobre 2021 08:00:00 - 6 heure(s);Cours;mardi 05 octobre 202108:10:51
7;Enregistreur Numerique;Tascam mini n�5;DR-05;mardi 12 octobre 2021 14:30:00 - 1 heure(s) et 30 minute(s);Maintenance;jeudi 07 octobre 202111:07:38
6;Videoprojecteur;VP 03;Epson EB-W29;mardi 12 octobre 2021 11:30:00 - 5 heure(s);Emprunt;mardi 12 octobre 202116:06:32
2;Enregistreur Numerique;Tascam mini n�7;Dr-05x;mardi 12 octobre 2021 13:00:00 - 4 heure(s);Emprunt;lundi 11 octobre 202113:58:05
2;Enregistreur Numerique;Tascam mini n�8;Dr-05x;mardi 12 octobre 2021 13:00:00 - 4 heure(s);Emprunt;lundi 11 octobre 202113:58:12
2;Enregistreur Numerique;Tascam mini n�9;Dr-05x;mardi 12 octobre 2021 13:00:00 - 4 heure(s);Emprunt;lundi 11 octobre 202113:58:18
2;Enregistreur Numerique;Tascam mini n�11;Dr-05x;mardi 12 octobre 2021 13:00:00 - 4 heure(s);Emprunt;lundi 11 octobre 202113:58:25
2;Enregistreur Numerique;Tascam mini  n�12;Dr-05x;mardi 12 octobre 2021 13:00:00 - 4 heure(s);Emprunt;lundi 11 octobre 202113:58:38
2;Camescope;Camescope HD n�1;Panasonic HC-VXF1;mardi 12 octobre 2021 13:00:00 - 4 heure(s);Emprunt;lundi 11 octobre 202114:01:16
3;Enregistreur Numerique;Tascam mini n�3;DR-05;lundi 11 octobre 2021 14:00:00 - 1 jour(s), 21 heure(s) et 30 minute(s);Emprunt;mardi 05 octobre 202115:17:57
3;Enregistreur Numerique;Tascam mini n�4;DR-05;lundi 11 octobre 2021 14:00:00 - 1 jour(s), 21 heure(s) et 30 minute(s);Emprunt;mardi 05 octobre 202115:17:57
3;Enregistreur Numerique;Tascam mini n�6;DR-05;lundi 11 octobre 2021 14:00:00 - 1 jour(s), 21 heure(s) et 30 minute(s);Emprunt;lundi 11 octobre 202111:51:29
3;Camescope;Camescope HD n�2;Panasonic HC-VXF1;lundi 11 octobre 2021 14:00:00 - 1 jour(s), 21 heure(s) et 30 minute(s);Emprunt;lundi 11 octobre 202111:52:02
3;Enceinte;RONDSON n�2;;mercredi 13 octobre 2021 13:30:00 - 2 heure(s) et 30 minute(s);Emprunt;mardi 12 octobre 202109:38:34
7;NOUVEAUX PC COURTE DUREE;PC B CD n�6;Dell Latitude 3410;jeudi 14 octobre 2021 10:00:00 - 2 heure(s);Maintenance;jeudi 07 octobre 202110:17:27
3;Enceinte;RONDSON n�2;;jeudi 14 octobre 2021 08:00:00 - 4 heure(s);Emprunt;mardi 12 octobre 202109:38:40
2;NOUVEAUX PC COURTE DUREE;PC B CD n�1;Dell Latitude 3410;jeudi 14 octobre 2021 13:30:00 - 4 heure(s) et 30 minute(s);Cours;lundi 27 septembre 202113:46:41
2;NOUVEAUX PC COURTE DUREE;PC B CD n�2;DELL Latitude E5580;jeudi 14 octobre 2021 13:30:00 - 4 heure(s) et 30 minute(s);Cours;lundi 27 septembre 202113:46:48
2;NOUVEAUX PC COURTE DUREE;PC B CD n�3;DELL Latitude E5580;jeudi 14 octobre 2021 13:30:00 - 4 heure(s) et 30 minute(s);Cours;lundi 27 septembre 202113:46:53
2;NOUVEAUX PC COURTE DUREE;PC B CD n�4;Dell Latitude 3410;jeudi 14 octobre 2021 13:30:00 - 4 heure(s) et 30 minute(s);Cours;lundi 27 septembre 202113:46:58
2;NOUVEAUX PC COURTE DUREE;PC B CD n�5;Dell Latitude 3410;jeudi 14 octobre 2021 13:30:00 - 4 heure(s) et 30 minute(s);Cours;lundi 27 septembre 202113:47:04
17;NOUVEAUX PC COURTE DUREE;PC B CD n�11;Dell Latitude 3410;jeudi 14 octobre 2021 16:20:00 - 2 heure(s);Cours;jeudi 14 octobre 202116:24:45
17;NOUVEAUX PC COURTE DUREE;PC B CD n�7;Dell Latitude 3410;jeudi 14 octobre 2021 16:20:00 - 2 heure(s);Cours;jeudi 14 octobre 202116:26:00
11;Videoprojecteur;VP 02;Epson EB-W29;vendredi 08 octobre 2021 14:30:00 - 1 semaine(s);Emprunt;vendredi 08 octobre 202114:27:55
7;Enregistreur Numerique;Tascam mini n�2;DR-05 -  Sans c�ble USB;vendredi 08 octobre 2021 14:30:00 - 1 semaine(s);Emprunt;lundi 18 octobre 202110:37:11
12;Enceinte;RONDSON n�1 c�ble du Rondson n�3 car n�1 HS;;mardi 12 octobre 2021 09:30:00 - 3 jour(s), 5 heure(s) et 30 minute(s);Emprunt;mardi 12 octobre 202109:39:38
12;Micro filaire;Micro n�1;;mardi 12 octobre 2021 09:30:00 - 3 jour(s), 5 heure(s) et 30 minute(s);Emprunt;mardi 12 octobre 202109:43:01
12;Tablettes Ipad - Longue Dur�e;Ipad n�2;Pas de clavier;vendredi 15 octobre 2021 14:00:00 - 3 heure(s);Emprunt;vendredi 15 octobre 202110:55:40
17;Videoprojecteur;VP 01;Epson EBW29;lundi 18 octobre 2021 08:00:00 - 4 heure(s);Cours;lundi 18 octobre 202108:04:44
12;NOUVEAUX PC COURTE DUREE;PC B CD n�2;DELL Latitude E5580;mardi 19 octobre 2021 08:00:00 - 6 heure(s);Cours;mardi 05 octobre 202108:10:51
18;Retroprojecteur;R�troprojecteur n�3;;mardi 05 octobre 2021 13:30:00 - 2 semaine(s), 1 heure(s) et 30 minute(s);Cours;jeudi 14 octobre 202112:43:35
6;NOUVEAUX PC COURTE DUREE;PC B CD n�10;Dell Latitude 3410;mardi 12 octobre 2021 12:00:00 - 1 semaine(s), 4 heure(s) et 30 minute(s);Emprunt;mardi 12 octobre 202111:34:49
8;Camescope;Camescope HD n�1;Panasonic HC-VXF1;mardi 19 octobre 2021 16:00:00 - 2 heure(s);Emprunt;mardi 12 octobre 202118:02:58
10;NOUVEAUX PC LONGUE DUREE;PC B LD n�11;Dell Latitude 3410;mardi 28 septembre 2021 08:00:00 - 3 semaine(s), 1 jour(s) et 2 heure(s);Emprunt;mercredi 20 octobre 202110:01:50
3;Enceinte;RONDSON n�1 c�ble du Rondson n�3 car n�1 HS;;mercredi 20 octobre 2021 13:30:00 - 2 heure(s) et 30 minute(s);Emprunt;mercredi 06 octobre 202116:43:06
12;NOUVEAUX PC COURTE DUREE;PC B CD n�2;DELL Latitude E5580;mercredi 20 octobre 2021 12:00:00 - 6 heure(s);Cours;mercredi 20 octobre 202111:57:05
3;Enceinte;RONDSON n�1 c�ble du Rondson n�3 car n�1 HS;;jeudi 21 octobre 2021 08:00:00 - 4 heure(s);Emprunt;mercredi 06 octobre 202112:14:09
7;NOUVEAUX PC COURTE DUREE;PC B CD n�6;Dell Latitude 3410;jeudi 21 octobre 2021 10:00:00 - 2 heure(s);Cours;mercredi 20 octobre 202108:48:02
18;Videoprojecteur;VP 02;Epson EB-W29;jeudi 21 octobre 2021 09:44:00 - 3 heure(s);Cours;jeudi 21 octobre 202109:44:41
6;Videoprojecteur;VP 04;Epson EB-W22;jeudi 21 octobre 2021 12:00:00 - 4 heure(s);Emprunt;jeudi 21 octobre 202112:16:21
8;Tablettes Ipad - Longue Dur�e;Ipad n�2;Pas de clavier;mardi 19 octobre 2021 10:00:00 - 2 jour(s) et 7 heure(s);Emprunt;mardi 19 octobre 202111:27:53
2;NOUVEAUX PC COURTE DUREE;PC B CD n�1;Dell Latitude 3410;jeudi 21 octobre 2021 13:30:00 - 4 heure(s) et 30 minute(s);Cours;lundi 27 septembre 202113:47:21
2;NOUVEAUX PC COURTE DUREE;PC B CD n�2;DELL Latitude E5580;jeudi 21 octobre 2021 13:30:00 - 4 heure(s) et 30 minute(s);Cours;lundi 27 septembre 202113:47:27
2;NOUVEAUX PC COURTE DUREE;PC B CD n�3;DELL Latitude E5580;jeudi 21 octobre 2021 13:30:00 - 4 heure(s) et 30 minute(s);Cours;lundi 27 septembre 202113:47:32
2;NOUVEAUX PC COURTE DUREE;PC B CD n�4;Dell Latitude 3410;jeudi 21 octobre 2021 13:30:00 - 4 heure(s) et 30 minute(s);Cours;lundi 27 septembre 202113:47:38
2;NOUVEAUX PC COURTE DUREE;PC B CD n�5;Dell Latitude 3410;jeudi 21 octobre 2021 13:30:00 - 4 heure(s) et 30 minute(s);Cours;lundi 27 septembre 202113:47:43
12;NOUVEAUX PC LONGUE DUREE;PC B LD n�16;Dell Latitude 3410;vendredi 24 septembre 2021 09:30:00 - 4 semaine(s);Emprunt;vendredi 24 septembre 202109:39:39
3;Tablettes Ipad - Longue Dur�e;Ipad n�4;Ipad;vendredi 10 septembre 2021 17:00:00 - 5 semaine(s), 6 jour(s) et 17 heure(s);Maintenance;vendredi 22 octobre 202110:27:08
11;Micro Cravate NON PRO;Micro Cravate n�1;Sony ECM AW3(T);vendredi 15 octobre 2021 14:00:00 - 1 semaine(s) et 30 minute(s);Emprunt;vendredi 15 octobre 202114:16:56
11;Enregistreur Numerique;Tascam mini n�7;Dr-05x;vendredi 15 octobre 2021 14:00:00 - 1 semaine(s) et 30 minute(s);Emprunt;vendredi 15 octobre 202114:28:23
7;Trepied Photo / Vid�o;Tr�pied n�1;Manfrotto BeFree;mercredi 20 octobre 2021 12:00:00 - 3 jour(s) et 6 heure(s);Cours;vendredi 15 octobre 202110:35:20
7;Trepied Photo / Vid�o;Tr�pied n�2;Manfrotto BeFree;mercredi 20 octobre 2021 12:00:00 - 3 jour(s) et 6 heure(s);Cours;vendredi 15 octobre 202110:35:20
7;Trepied Photo / Vid�o;Tr�pied n�4;Manfrotto BeFree;mercredi 20 octobre 2021 12:00:00 - 3 jour(s) et 6 heure(s);Cours;vendredi 15 octobre 202110:35:20
7;Trepied Photo / Vid�o;Tr�pied n�5;Manfrotto BeFree;mercredi 20 octobre 2021 12:00:00 - 3 jour(s) et 6 heure(s);Cours;vendredi 15 octobre 202110:35:20
7;Trepied Photo / Vid�o;Tr�pied n�6;Manfrotto Befree;mercredi 20 octobre 2021 12:00:00 - 3 jour(s) et 6 heure(s);Cours;vendredi 15 octobre 202110:35:20
8;Videoprojecteur;VP 01;Epson EBW29;mercredi 20 octobre 2021 17:00:00 - 4 jour(s) et 16 heure(s);Cours;mercredi 20 octobre 202117:40:06
18;NOUVEAUX PC COURTE DUREE;PC B CD n�12;Dell Latitude 3410;jeudi 21 octobre 2021 09:25:00 - 4 jour(s) et 1 heure(s);Emprunt;jeudi 21 octobre 202109:26:14
2;Tablettes Ipad - Longue Dur�e;Ipad n�5;Ipad;jeudi 21 octobre 2021 11:30:00 - 4 jour(s);Cours;lundi 04 octobre 202114:20:05
2;Tablettes Ipad - Longue Dur�e;Ipad n�6;Ipad;jeudi 21 octobre 2021 11:30:00 - 4 jour(s);Cours;lundi 04 octobre 202114:20:14
2;Tablettes Ipad - Longue Dur�e;Ipad n�7;Ipad;jeudi 21 octobre 2021 11:30:00 - 4 jour(s);Cours;lundi 04 octobre 202114:20:21
2;Tablettes Ipad - Longue Dur�e;Ipad n�8;Ipad;jeudi 21 octobre 2021 11:30:00 - 4 jour(s);Cours;lundi 04 octobre 202114:20:30
7;Camescope;Camescope HD n�1;Panasonic HC-VXF1;mercredi 20 octobre 2021 12:00:00 - 5 jour(s);Cours;vendredi 22 octobre 202108:56:29
7;Camescope;Camescope HD n�2;Panasonic HC-VXF1;mercredi 20 octobre 2021 12:00:00 - 5 jour(s);Cours;vendredi 22 octobre 202108:56:41
7;Camescope;Camescope HD n�3;Panasonic HC-VXF1;mercredi 20 octobre 2021 12:00:00 - 5 jour(s);Cours;vendredi 22 octobre 202108:56:53
7;Camescope;Camescope HD n�5;Panasonic HC-VXF1;mercredi 20 octobre 2021 12:00:00 - 5 jour(s);Cours;vendredi 22 octobre 202108:57:05
7;Camescope;Camescope HD n�6;Panasonic HC-VXF1;mercredi 20 octobre 2021 12:00:00 - 5 jour(s);Cours;vendredi 22 octobre 202108:57:17
7;Enregistreur Numerique;Tascam mini n�3;DR-05;mercredi 20 octobre 2021 12:00:00 - 5 jour(s);Cours;vendredi 22 octobre 202108:57:32
7;Enregistreur Numerique;Tascam mini n�4;DR-05;mercredi 20 octobre 2021 12:00:00 - 5 jour(s);Cours;vendredi 22 octobre 202108:57:52
7;Enregistreur Numerique;Tascam mini n�5;DR-05;mercredi 20 octobre 2021 12:00:00 - 5 jour(s);Cours;vendredi 22 octobre 202108:58:05
